Initial upper_bound: 7589151.9, lower_bound: 1442895.9, init_target_latency: 4516023.9, diff_threshold_ns: 1000000
Search segment 0, latency: 12921821.55, target: 4516023.9, partition: [56 74  1  1], latencies(ns): [12921821 36020174   316325   580337]
Search segment 0, latency: 12426853.38, target: 4516023.9, partition: [55 75  1  1], latencies(ns): [12426853 36223832   316325   580337]
Search segment 0, latency: 12466855.49, target: 4516023.9, partition: [54 76  1  1], latencies(ns): [12466855 36965742   316325   580337]
Search segment 0, latency: 11820943.08, target: 4516023.9, partition: [53 77  1  1], latencies(ns): [11820943 36470673   316325   580337]
Search segment 0, latency: 11893186.74, target: 4516023.9, partition: [52 78  1  1], latencies(ns): [11893186 36604993   316325   580337]
Search segment 0, latency: 11998955.38, target: 4516023.9, partition: [51 79  1  1], latencies(ns): [11998955 37329466   316325   580337]
Search segment 0, latency: 11575626.5, target: 4516023.9, partition: [50 80  1  1], latencies(ns): [11575626 37664019   316325   580337]
Search segment 0, latency: 11291174.44, target: 4516023.9, partition: [49 81  1  1], latencies(ns): [11291174 37958136   316325   580337]
Search segment 0, latency: 10844689.3, target: 4516023.9, partition: [48 82  1  1], latencies(ns): [10844689 38042754   316325   580337]
Search segment 0, latency: 10401764.62, target: 4516023.9, partition: [47 83  1  1], latencies(ns): [10401764 38384232   316325   580337]
Search segment 0, latency: 10162378.37, target: 4516023.9, partition: [46 84  1  1], latencies(ns): [10162378 38707453   316325   580337]
Search segment 0, latency: 9921341.93, target: 4516023.9, partition: [45 85  1  1], latencies(ns): [ 9921341 38974508   316325   580337]
Search segment 0, latency: 9609882.82, target: 4516023.9, partition: [44 86  1  1], latencies(ns): [ 9609882 39213717   316325   580337]
Search segment 0, latency: 9248865.0, target: 4516023.9, partition: [43 87  1  1], latencies(ns): [ 9248865 39306241   316325   580337]
Search segment 0, latency: 9236105.3, target: 4516023.9, partition: [42 88  1  1], latencies(ns): [ 9236105 40108174   316325   580337]
Search segment 0, latency: 8444524.7, target: 4516023.9, partition: [41 89  1  1], latencies(ns): [ 8444524 39624420   316325   580337]
Search segment 0, latency: 8751093.12, target: 4516023.9, partition: [40 90  1  1], latencies(ns): [ 8751093 39696298   316325   580337]
Search segment 0, latency: 7040626.3, target: 4516023.9, partition: [39 91  1  1], latencies(ns): [ 7040626 42556492   316325   580337]
Search segment 0, latency: 7130500.62, target: 4516023.9, partition: [38 92  1  1], latencies(ns): [ 7130500 43060911   316325   580337]
Search segment 0, latency: 6705700.2, target: 4516023.9, partition: [37 93  1  1], latencies(ns): [ 6705700 43116246   316325   580337]
Search segment 0, latency: 6475695.69, target: 4516023.9, partition: [36 94  1  1], latencies(ns): [ 6475695 42920535   316325   580337]
Search segment 0, latency: 6185187.38, target: 4516023.9, partition: [35 95  1  1], latencies(ns): [ 6185187 42752287   316325   580337]
Search segment 0, latency: 6127746.75, target: 4516023.9, partition: [34 96  1  1], latencies(ns): [ 6127746 42784888   316325   580337]
Search segment 0, latency: 6221269.91, target: 4516023.9, partition: [33 97  1  1], latencies(ns): [ 6221269 42879686   316325   580337]
Search segment 0, latency: 6895031.33, target: 4516023.9, partition: [32 98  1  1], latencies(ns): [ 6895031 43615176   316325   580337]
Search segment 0, latency: 6528966.76, target: 4516023.9, partition: [31 99  1  1], latencies(ns): [ 6528966 43741423   316325   580337]
Search segment 0, latency: 6061900.44, target: 4516023.9, partition: [ 30 100   1   1], latencies(ns): [ 6061900 43651065   316325   580337]
Search segment 0, latency: 6091516.5, target: 4516023.9, partition: [ 29 101   1   1], latencies(ns): [ 6091516 43934069   316325   580337]
Search segment 0, latency: 5746078.1, target: 4516023.9, partition: [ 28 102   1   1], latencies(ns): [ 5746078 43994593   316325   580337]
Search segment 0, latency: 5532997.6, target: 4516023.9, partition: [ 27 103   1   1], latencies(ns): [ 5532997 43897326   316325   580337]
Search segment 0, latency: 5715201.99, target: 4516023.9, partition: [ 26 104   1   1], latencies(ns): [ 5715201 44588449   316325   580337]
Search segment 0, latency: 5176892.84, target: 4516023.9, partition: [ 25 105   1   1], latencies(ns): [ 5176892 43814067   316325   580337]
Search segment 0, latency: 5224356.24, target: 4516023.9, partition: [ 24 106   1   1], latencies(ns): [ 5224356 43897549   316325   580337]
Search segment 0, latency: 5832254.86, target: 4516023.9, partition: [ 23 107   1   1], latencies(ns): [ 5832254 44557915   316325   580337]
Search segment 0, latency: 5554509.93, target: 4516023.9, partition: [ 22 108   1   1], latencies(ns): [ 5554509 44657113   316325   580337]
Search segment 0, latency: 5390885.07, target: 4516023.9, partition: [ 21 109   1   1], latencies(ns): [ 5390885 44533658   316325   580337]
Search segment 0, latency: 4626928.6, target: 4516023.9, partition: [ 20 110   1   1], latencies(ns): [ 4626928 44815816   316325   580337]
Search segment 0, latency: 4731360.71, target: 4516023.9, partition: [ 19 111   1   1], latencies(ns): [ 4731360 44877332   316325   580337]
Search segment 0, latency: 4464641.62, target: 4516023.9, partition: [ 18 112   1   1], latencies(ns): [ 4464641 44732962   316325   580337]
Search segment 1, latency: 44732962.89, target: 4516023.9, partition: [ 18 112   1   1], latencies(ns): [ 4464641 44732962   316325   580337]
Search segment 1, latency: 44705180.04, target: 4516023.9, partition: [ 18 111   2   1], latencies(ns): [ 4464641 44705180   336656   580337]
Search segment 1, latency: 44981267.09, target: 4516023.9, partition: [ 18 110   3   1], latencies(ns): [ 4464641 44981267   743044   580337]
Search segment 1, latency: 45018759.13, target: 4516023.9, partition: [ 18 109   4   1], latencies(ns): [ 4464641 45018759   810988   580337]
Search segment 1, latency: 43820337.13, target: 4516023.9, partition: [ 18 108   5   1], latencies(ns): [ 4464641 43820337  2676709   580337]
Search segment 1, latency: 43804744.9, target: 4516023.9, partition: [ 18 107   6   1], latencies(ns): [ 4464641 43804744  2696585   580337]
Search segment 1, latency: 43756069.02, target: 4516023.9, partition: [ 18 106   7   1], latencies(ns): [ 4464641 43756069  2659103   580337]
Search segment 1, latency: 42835767.87, target: 4516023.9, partition: [ 18 105   8   1], latencies(ns): [ 4464641 42835767  3637916   580337]
Search segment 1, latency: 41717623.94, target: 4516023.9, partition: [ 18 104   9   1], latencies(ns): [ 4464641 41717623  4674868   580337]
Search segment 1, latency: 39831781.33, target: 4516023.9, partition: [ 18 103  10   1], latencies(ns): [ 4464641 39831781  6205762   580337]
Search segment 1, latency: 39798786.26, target: 4516023.9, partition: [ 18 102  11   1], latencies(ns): [ 4464641 39798786  6387832   580337]
Search segment 1, latency: 39836221.42, target: 4516023.9, partition: [ 18 101  12   1], latencies(ns): [ 4464641 39836221  6357143   580337]
Search segment 1, latency: 38858022.41, target: 4516023.9, partition: [ 18 100  13   1], latencies(ns): [ 4464641 38858022  7410796   580337]
Search segment 1, latency: 37607288.08, target: 4516023.9, partition: [18 99 14  1], latencies(ns): [ 4464641 37607288  8313079   580337]
Search segment 1, latency: 37645838.68, target: 4516023.9, partition: [18 98 15  1], latencies(ns): [ 4464641 37645838  8408900   580337]
Search segment 1, latency: 35446683.88, target: 4516023.9, partition: [18 97 16  1], latencies(ns): [ 4464641 35446683 10408270   580337]
Search segment 1, latency: 34839116.08, target: 4516023.9, partition: [18 96 17  1], latencies(ns): [ 4464641 34839116 11584898   580337]
Search segment 1, latency: 34417607.45, target: 4516023.9, partition: [18 95 18  1], latencies(ns): [ 4464641 34417607 11347171   580337]
Search segment 1, latency: 34510881.91, target: 4516023.9, partition: [18 94 19  1], latencies(ns): [ 4464641 34510881 11372922   580337]
Search segment 1, latency: 33747826.53, target: 4516023.9, partition: [18 93 20  1], latencies(ns): [ 4464641 33747826 12454028   580337]
Search segment 1, latency: 33705388.12, target: 4516023.9, partition: [18 92 21  1], latencies(ns): [ 4464641 33705388 12466855   580337]
Search segment 1, latency: 33624323.64, target: 4516023.9, partition: [18 91 22  1], latencies(ns): [ 4464641 33624323 12563020   580337]
Search segment 1, latency: 32733627.92, target: 4516023.9, partition: [18 90 23  1], latencies(ns): [ 4464641 32733627 13574698   580337]
Search segment 1, latency: 31629884.51, target: 4516023.9, partition: [18 89 24  1], latencies(ns): [ 4464641 31629884 14508522   580337]
Search segment 1, latency: 30368683.76, target: 4516023.9, partition: [18 88 25  1], latencies(ns): [ 4464641 30368683 15345690   580337]
Search segment 1, latency: 30404238.46, target: 4516023.9, partition: [18 87 26  1], latencies(ns): [ 4464641 30404238 15523414   580337]
Search segment 1, latency: 30431001.22, target: 4516023.9, partition: [18 86 27  1], latencies(ns): [ 4464641 30431001 15314215   580337]
Search segment 1, latency: 29413340.09, target: 4516023.9, partition: [18 85 28  1], latencies(ns): [ 4464641 29413340 16594571   580337]
Search segment 1, latency: 28320668.36, target: 4516023.9, partition: [18 84 29  1], latencies(ns): [ 4464641 28320668 17485486   580337]
Search segment 1, latency: 28235069.06, target: 4516023.9, partition: [18 83 30  1], latencies(ns): [ 4464641 28235069 17614197   580337]
Search segment 1, latency: 27958487.62, target: 4516023.9, partition: [18 82 31  1], latencies(ns): [ 4464641 27958487 17560879   580337]
Search segment 1, latency: 27727987.12, target: 4516023.9, partition: [18 81 32  1], latencies(ns): [ 4464641 27727987 18289291   580337]
Search segment 1, latency: 27447963.38, target: 4516023.9, partition: [18 80 33  1], latencies(ns): [ 4464641 27447963 18090344   580337]
Search segment 1, latency: 27454265.78, target: 4516023.9, partition: [18 79 34  1], latencies(ns): [ 4464641 27454265 18155586   580337]
Search segment 1, latency: 26334948.63, target: 4516023.9, partition: [18 78 35  1], latencies(ns): [ 4464641 26334948 19510688   580337]
Search segment 1, latency: 26395285.18, target: 4516023.9, partition: [18 77 36  1], latencies(ns): [ 4464641 26395285 20263242   580337]
Search segment 1, latency: 25775392.78, target: 4516023.9, partition: [18 76 37  1], latencies(ns): [ 4464641 25775392 21131089   580337]
Search segment 1, latency: 25273300.81, target: 4516023.9, partition: [18 75 38  1], latencies(ns): [ 4464641 25273300 21752453   580337]
Search segment 1, latency: 24581699.16, target: 4516023.9, partition: [18 74 39  1], latencies(ns): [ 4464641 24581699 22294869   580337]
Search segment 1, latency: 23799303.9, target: 4516023.9, partition: [18 73 40  1], latencies(ns): [ 4464641 23799303 22463765   580337]
Search segment 1, latency: 23827745.35, target: 4516023.9, partition: [18 72 41  1], latencies(ns): [ 4464641 23827745 22386175   580337]
Search segment 1, latency: 23852398.47, target: 4516023.9, partition: [18 71 42  1], latencies(ns): [ 4464641 23852398 22406040   580337]
Search segment 1, latency: 23882600.16, target: 4516023.9, partition: [18 70 43  1], latencies(ns): [ 4464641 23882600 22521180   580337]
Search segment 1, latency: 23969758.28, target: 4516023.9, partition: [18 69 44  1], latencies(ns): [ 4464641 23969758 23252345   580337]
Search segment 1, latency: 23342248.02, target: 4516023.9, partition: [18 68 45  1], latencies(ns): [ 4464641 23342248 23788559   580337]
Search segment 1, latency: 22767928.94, target: 4516023.9, partition: [18 67 46  1], latencies(ns): [ 4464641 22767928 24483697   580337]
Search segment 1, latency: 22249043.26, target: 4516023.9, partition: [18 66 47  1], latencies(ns): [ 4464641 22249043 24639587   580337]
Search segment 1, latency: 21652274.61, target: 4516023.9, partition: [18 65 48  1], latencies(ns): [ 4464641 21652274 25216849   580337]
Search segment 1, latency: 21059346.65, target: 4516023.9, partition: [18 64 49  1], latencies(ns): [ 4464641 21059346 25870757   580337]
Search segment 1, latency: 20061629.41, target: 4516023.9, partition: [18 63 50  1], latencies(ns): [ 4464641 20061629 26491689   580337]
Search segment 1, latency: 19848693.48, target: 4516023.9, partition: [18 62 51  1], latencies(ns): [ 4464641 19848693 27084289   580337]
Search segment 1, latency: 19347385.21, target: 4516023.9, partition: [18 61 52  1], latencies(ns): [ 4464641 19347385 27227840   580337]
Search segment 1, latency: 19401106.03, target: 4516023.9, partition: [18 60 53  1], latencies(ns): [ 4464641 19401106 27998902   580337]
Search segment 1, latency: 18575124.07, target: 4516023.9, partition: [18 59 54  1], latencies(ns): [ 4464641 18575124 27506440   580337]
Search segment 1, latency: 18802374.88, target: 4516023.9, partition: [18 58 55  1], latencies(ns): [ 4464641 18802374 27652136   580337]
Search segment 1, latency: 18890727.72, target: 4516023.9, partition: [18 57 56  1], latencies(ns): [ 4464641 18890727 28382437   580337]
Search segment 1, latency: 18348861.84, target: 4516023.9, partition: [18 56 57  1], latencies(ns): [ 4464641 18348861 28851084   580337]
Search segment 1, latency: 17893897.79, target: 4516023.9, partition: [18 55 58  1], latencies(ns): [ 4464641 17893897 29361775   580337]
Search segment 1, latency: 17365851.57, target: 4516023.9, partition: [18 54 59  1], latencies(ns): [ 4464641 17365851 29566121   580337]
Search segment 1, latency: 16853059.97, target: 4516023.9, partition: [18 53 60  1], latencies(ns): [ 4464641 16853059 30029180   580337]
Search segment 1, latency: 16366728.53, target: 4516023.9, partition: [18 52 61  1], latencies(ns): [ 4464641 16366728 30495243   580337]
Search segment 1, latency: 15857096.37, target: 4516023.9, partition: [18 51 62  1], latencies(ns): [ 4464641 15857096 31017933   580337]
Search segment 1, latency: 15315317.52, target: 4516023.9, partition: [18 50 63  1], latencies(ns): [ 4464641 15315317 31516960   580337]
Search segment 1, latency: 14805284.1, target: 4516023.9, partition: [18 49 64  1], latencies(ns): [ 4464641 14805284 31741554   580337]
Search segment 1, latency: 14911649.47, target: 4516023.9, partition: [18 48 65  1], latencies(ns): [ 4464641 14911649 32492148   580337]
Search segment 1, latency: 14250318.39, target: 4516023.9, partition: [18 47 66  1], latencies(ns): [ 4464641 14250318 32006873   580337]
Search segment 1, latency: 14333503.7, target: 4516023.9, partition: [18 46 67  1], latencies(ns): [ 4464641 14333503 32143658   580337]
Search segment 1, latency: 14429362.61, target: 4516023.9, partition: [18 45 68  1], latencies(ns): [ 4464641 14429362 32848723   580337]
Search segment 1, latency: 13914601.68, target: 4516023.9, partition: [18 44 69  1], latencies(ns): [ 4464641 13914601 33311617   580337]
Search segment 1, latency: 13431193.0, target: 4516023.9, partition: [18 43 70  1], latencies(ns): [ 4464641 13431193 33842737   580337]
