Initial upper_bound: 7589151.9, lower_bound: 1442895.9, init_target_latency: 4516023.9, diff_threshold_ns: 1000000
Search segment 1, latency: 36326207.5, target: 13378520.2, partition: [56 71  4  1], latencies(ns): [12923384 36326207   672821   429487]
Search segment 1, latency: 35138506.1, target: 13378520.2, partition: [56 70  5  1], latencies(ns): [12885609 35138506  2682107   567272]
Search segment 1, latency: 35115467.4, target: 13378520.2, partition: [56 69  6  1], latencies(ns): [12903654 35115467  2696524   583741]
Search segment 1, latency: 35122136.1, target: 13378520.2, partition: [56 68  7  1], latencies(ns): [12890544 35122136  2689359   550748]
Search segment 1, latency: 34130340.7, target: 13378520.2, partition: [56 67  8  1], latencies(ns): [12884957 34130340  3721343   553998]
Search segment 1, latency: 33021649.8, target: 13378520.2, partition: [56 66  9  1], latencies(ns): [12949324 33021649  4678180   552833]
Search segment 1, latency: 31095702.3, target: 13378520.2, partition: [56 65 10  1], latencies(ns): [12918392 31095702  6332300   509336]
Search segment 1, latency: 30928719.4, target: 13378520.2, partition: [56 64 11  1], latencies(ns): [12555255 30928719  6358276   545566]
Search segment 1, latency: 30810285.7, target: 13378520.2, partition: [56 63 12  1], latencies(ns): [12602882 30810285  6124596   370254]
Search segment 1, latency: 30134247.1, target: 13378520.2, partition: [56 62 13  1], latencies(ns): [12914989 30134247  7411394   550693]
Search segment 1, latency: 29014041.7, target: 13378520.2, partition: [56 61 14  1], latencies(ns): [12917127 29014041  8363435   571384]
Search segment 1, latency: 28947516.7, target: 13378520.2, partition: [56 60 15  1], latencies(ns): [12788763 28947516  8446701   596309]
Search segment 1, latency: 26754850.8, target: 13378520.2, partition: [56 59 16  1], latencies(ns): [12933380 26754850 10448275   567544]
Search segment 1, latency: 26172513.4, target: 13378520.2, partition: [56 58 17  1], latencies(ns): [12926944 26172513 11618594   596048]
Search segment 1, latency: 25738088.4, target: 13378520.2, partition: [56 57 18  1], latencies(ns): [12889147 25738088 11344319   584306]
Search segment 1, latency: 25812281.5, target: 13378520.2, partition: [56 56 19  1], latencies(ns): [12922985 25812281 11414771   568711]
Search segment 1, latency: 24703530.6, target: 13378520.2, partition: [56 55 20  1], latencies(ns): [12553791 24703530 12466420   523332]
Search segment 1, latency: 25020720.9, target: 13378520.2, partition: [56 54 21  1], latencies(ns): [12932682 25020720 12523182   535104]
Search segment 1, latency: 25055655.9, target: 13378520.2, partition: [56 53 22  1], latencies(ns): [12941361 25055655 12565514   595702]
Search segment 1, latency: 23686868.7, target: 13378520.2, partition: [56 52 23  1], latencies(ns): [12587276 23686868 13369619   387873]
Search segment 1, latency: 22774108.8, target: 13378520.2, partition: [56 51 24  1], latencies(ns): [12874289 22774108 14506307   553754]
Search segment 1, latency: 21689144.7, target: 13378520.2, partition: [56 50 25  1], latencies(ns): [12932757 21689144 15486967   514959]
Search segment 1, latency: 21684683.4, target: 13378520.2, partition: [56 49 26  1], latencies(ns): [12867178 21684683 15512788   544825]
Search segment 1, latency: 21705442.9, target: 13378520.2, partition: [56 48 27  1], latencies(ns): [12930078 21705442 15576622   603353]
Search segment 1, latency: 20714490.5, target: 13378520.2, partition: [56 47 28  1], latencies(ns): [12919090 20714490 16585051   574095]
Search segment 1, latency: 19604382.8, target: 13378520.2, partition: [56 46 29  1], latencies(ns): [12942294 19604382 17525237   585339]
Search segment 1, latency: 19545207.3, target: 13378520.2, partition: [56 45 30  1], latencies(ns): [12922836 19545207 17582987   485558]
Search segment 1, latency: 19400344.8, target: 13378520.2, partition: [56 44 31  1], latencies(ns): [12885879 19400344 17555935   577864]
Search segment 1, latency: 19020184.3, target: 13378520.2, partition: [56 43 32  1], latencies(ns): [12937290 19020184 18293871   567453]
Search segment 1, latency: 18700890.0, target: 13378520.2, partition: [56 42 33  1], latencies(ns): [12893107 18700890 18051693   533479]
Search segment 1, latency: 18746848.4, target: 13378520.2, partition: [56 41 34  1], latencies(ns): [12903885 18746848 18102519   508441]
Search segment 1, latency: 17582060.1, target: 13378520.2, partition: [56 40 35  1], latencies(ns): [12937945 17582060 19488512   534474]
Search segment 1, latency: 17695726.6, target: 13378520.2, partition: [56 39 36  1], latencies(ns): [12893440 17695726 20189646   522779]
Search segment 1, latency: 16695916.7, target: 13378520.2, partition: [56 38 37  1], latencies(ns): [12591652 16695916 20907211   367926]
Search segment 1, latency: 16070005.6, target: 13378520.2, partition: [56 37 38  1], latencies(ns): [12638261 16070005 21568613   547417]
Search segment 1, latency: 15741413.0, target: 13378520.2, partition: [56 36 39  1], latencies(ns): [12794006 15741413 22347136   570193]
Search segment 1, latency: 15348031.1, target: 13378520.2, partition: [56 35 40  1], latencies(ns): [12929322 15348031 22519511   535584]
Search segment 1, latency: 15147989.4, target: 13378520.2, partition: [56 34 41  1], latencies(ns): [12936210 15147989 22387770   566850]
Search segment 1, latency: 15040651.8, target: 13378520.2, partition: [56 33 42  1], latencies(ns): [12835467 15040651 22385066   565057]
Search segment 1, latency: 15179530.6, target: 13378520.2, partition: [56 32 43  1], latencies(ns): [12896831 15179530 22539551   555249]
Search segment 1, latency: 15282748.6, target: 13378520.2, partition: [56 31 44  1], latencies(ns): [12935536 15282748 23298965   532901]
Search segment 1, latency: 14649101.7, target: 13378520.2, partition: [56 30 45  1], latencies(ns): [12881669 14649101 23872785   511178]
Search segment 1, latency: 14043010.6, target: 13378520.2, partition: [56 29 46  1], latencies(ns): [12902714 14043010 24469569   523569]
Search segment 1, latency: 13546412.3, target: 13378520.2, partition: [56 28 47  1], latencies(ns): [12943588 13546412 24661886   579316]
Search segment 1, latency: 12577471.1, target: 13378520.2, partition: [56 27 48  1], latencies(ns): [12598788 12577471 25070395   374752]
Search segment 2, latency: 25070395.9, target: 13378520.2, partition: [56 27 48  1], latencies(ns): [12598788 12577471 25070395   374752]
Search segment 2, latency: 25280903.9, target: 13378520.2, partition: [56 27 47  2], latencies(ns): [12598788 12577471 25280903       -1]
Search segment 2, latency: 25290698.7, target: 13378520.2, partition: [56 27 46  3], latencies(ns): [12941200 12930411 25290698   641641]
Search segment 2, latency: 25513425.6, target: 13378520.2, partition: [56 27 45  4], latencies(ns): [12951032 12960726 25513425  1040835]
Search segment 2, latency: 25538829.5, target: 13378520.2, partition: [56 27 44  5], latencies(ns): [12944205 12910754 25538829  1105038]
Search segment 2, latency: 24044429.4, target: 13378520.2, partition: [56 27 43  6], latencies(ns): [12656798 12697226 24044429  2684720]
Search segment 2, latency: 24016866.3, target: 13378520.2, partition: [56 27 42  7], latencies(ns): [12623772 12566177 24016866  2699107]
Search segment 2, latency: 24409311.6, target: 13378520.2, partition: [56 27 41  8], latencies(ns): [12936535 12958584 24409311  2987545]
Search segment 2, latency: 23387535.2, target: 13378520.2, partition: [56 27 40  9], latencies(ns): [12916992 12952847 23387535  4014076]
Search segment 2, latency: 22237296.8, target: 13378520.2, partition: [56 27 39 10], latencies(ns): [12889308 12897201 22237296  4903168]
Search segment 2, latency: 20349548.8, target: 13378520.2, partition: [56 27 38 11], latencies(ns): [12888600 12897331 20349548  6603279]
Search segment 2, latency: 20342720.2, target: 13378520.2, partition: [56 27 37 12], latencies(ns): [12885946 12896101 20342720  6603542]
Search segment 2, latency: 20407339.5, target: 13378520.2, partition: [56 27 36 13], latencies(ns): [12901177 12943892 20407339  6651781]
Search segment 2, latency: 19392296.3, target: 13378520.2, partition: [56 27 35 14], latencies(ns): [12929811 12935166 19392296  7690010]
Search segment 2, latency: 18054126.0, target: 13378520.2, partition: [56 27 34 15], latencies(ns): [12576714 12566568 18054126  8421829]
Search segment 2, latency: 18083919.5, target: 13378520.2, partition: [56 27 33 16], latencies(ns): [12648862 12588256 18083919  8457857]
Search segment 2, latency: 15739140.6, target: 13378520.2, partition: [56 27 32 17], latencies(ns): [12629439 12608020 15739140 10504140]
Search segment 2, latency: 15378831.8, target: 13378520.2, partition: [56 27 31 18], latencies(ns): [12878648 12918414 15378831 11767947]
Search segment 2, latency: 14993336.7, target: 13378520.2, partition: [56 27 30 19], latencies(ns): [12699651 12700470 14993336 11601145]
Search segment 2, latency: 15075316.6, target: 13378520.2, partition: [56 27 29 20], latencies(ns): [12942395 12938311 15075316 11687932]
Search segment 2, latency: 14275106.7, target: 13378520.2, partition: [56 27 28 21], latencies(ns): [12940109 12940478 14275106 12784623]
Search segment 2, latency: 14212563.0, target: 13378520.2, partition: [56 27 27 22], latencies(ns): [12557724 12692034 14212563 12728449]
Search segment 2, latency: 14221470.4, target: 13378520.2, partition: [56 27 26 23], latencies(ns): [12886611 12908467 14221470 12758651]
Search segment 2, latency: 13315528.1, target: 13378520.2, partition: [56 27 25 24], latencies(ns): [12896665 13151985 13315528 13781784]
target_latency:  13378520.2, num_ops: [56 27 25 24], latencies: [12896665 13151985 13315528 13781784]

